Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,DateBirth,RemoteWork
no,,776.0,,1,4,marketing,1000.0,3,female,32.0,2,2,sales_executive,1,single,,23016,0,no,14,,2,0,16.0,2,3.0,15,2,8,1988,no
no,travel_rarely,526.0,,1,2,,2440.0,2,male,92.0,3,3,sales_executive,1,divorced,,2137,1,no,25,4.0,3,3,24.0,2,3.0,24,15,7,1977,yes
no,,1034.0,,16,3,,3270.0,4,male,80.0,3,4,manager,4,married,16064.0,7744,5,,22,4.0,3,1,22.0,3,3.0,17,1,9,1980,yes
no,,1403.0,research_and_development,6,3,life_sciences,3730.0,4,female,47.0,3,1,laboratory_technician,4,married,3210.0,20251,0,,11,3.0,3,1,16.0,4,3.0,15,10,11,1987,yes
no,travel_frequently,580.0,,5,4,,7290.0,4,female,48.0,2,3,sales_executive,1,married,10475.0,23772,5,yes,21,4.0,3,1,20.0,2,3.0,18,1,12,1983,no
no,travel_rarely,859.0,,4,3,,8300.0,3,male,98.0,2,2,manufacturing_director,3,married,6162.0,19124,1,no,12,3.0,3,1,14.0,3,3.0,14,6,8,1991,no
no,,1376.0,,2,2,medical,9810.0,3,female,,3,4,manager,3,divorced,,13938,6,no,13,3.0,3,1,22.0,3,4.0,17,15,2,1970,no
yes,travel_rarely,885.0,,16,4,,10420.0,3,male,43.0,4,1,laboratory_technician,1,single,,8269,1,,16,3.0,3,0,18.0,1,3.0,17,15,14,1987,yes
no,,1003.0,,8,4,life_sciences,10800.0,4,male,74.0,2,2,research_scientist,1,divorced,4615.0,21029,8,yes,23,4.0,1,3,,2,3.0,16,1,7,1977,no
no,travel_rarely,1321.0,,1,4,,19950.0,4,female,86.0,3,2,sales_executive,2,married,,7636,0,no,15,3.0,1,2,16.0,3,,15,5,8,1985,yes
no,,,,1,4,,1450.0,1,male,30.0,2,3,healthcare_representative,1,single,,25796,3,,20,4.0,3,0,23.0,1,2.0,13,12,8,1972,yes
no,,394.0,,26,2,,1580.0,3,female,92.0,3,4,manager,4,married,16959.0,19494,1,yes,12,3.0,4,2,25.0,3,4.0,25,4,12,1980,yes
no,,1372.0,,1,3,life_sciences,3910.0,4,male,42.0,3,1,research_scientist,4,single,,15881,1,no,12,3.0,2,0,,3,3.0,17,5,7,1986,yes
no,travel_rarely,,,8,2,technical_degree,4360.0,3,male,65.0,2,2,sales_executive,2,married,,24624,1,yes,11,3.0,4,0,,2,3.0,13,11,9,1991,yes
no,,228.0,,3,3,life_sciences,15270.0,3,male,51.0,3,4,manager,2,,,11380,8,no,12,3.0,4,1,23.0,2,4.0,13,5,1,1977,yes
no,,823.0,,6,3,medical,18660.0,1,male,81.0,2,5,manager,3,married,,22539,7,no,13,3.0,4,0,21.0,2,3.0,16,6,14,1980,yes
no,non_travel,667.0,,1,4,life_sciences,20260.0,3,female,57.0,3,2,healthcare_representative,3,divorced,,26236,1,no,21,,1,1,,2,2.0,13,1,9,1967,yes
no,,573.0,,6,3,medical,1070.0,2,male,79.0,1,2,research_scientist,4,,,15717,7,,12,3.0,4,3,17.0,3,3.0,13,1,9,1985,yes
no,,,,26,4,medical,1700.0,3,male,96.0,3,2,manufacturing_director,1,,,5549,1,no,14,3.0,3,0,16.0,2,2.0,15,5,11,1974,no
no,,630.0,,4,4,,2150.0,3,female,67.0,2,3,sales_executive,4,married,10855.0,8552,7,no,11,,1,1,15.0,2,2.0,12,2,11,1983,yes
no,,,,5,2,,3040.0,4,female,62.0,3,2,laboratory_technician,2,single,5914.0,9945,8,no,16,3.0,4,0,16.0,3,4.0,13,3,7,1987,yes
no,,1063.0,,25,5,,5290.0,2,male,72.0,3,2,research_scientist,3,married,,23866,3,yes,15,3.0,1,2,15.0,2,3.0,13,10,7,1986,no
no,,1017.0,,6,4,,6910.0,2,female,82.0,1,2,research_scientist,4,,6646.0,19368,1,,13,3.0,2,0,,3,3.0,17,11,8,1988,yes
no,travel_frequently,1296.0,,6,3,life_sciences,6920.0,3,female,,3,2,healthcare_representative,4,divorced,,5335,3,no,23,4.0,3,1,15.0,2,1.0,13,4,7,1990,no
no,travel_rarely,939.0,research_and_development,24,3,,10050.0,4,female,,3,4,manufacturing_director,3,married,13973.0,4161,3,yes,18,3.0,4,1,22.0,2,3.0,12,1,5,1973,no
no,travel_rarely,1355.0,,4,4,,10240.0,3,female,78.0,2,3,healthcare_representative,3,single,,22245,7,,14,,2,0,27.0,3,3.0,15,4,8,1975,yes
no,travel_rarely,1448.0,sales,28,3,,10390.0,4,male,53.0,4,4,sales_executive,4,married,13320.0,11737,3,,18,3.0,3,1,,2,3.0,12,11,11,1979,yes
no,travel_rarely,200.0,,29,4,,12250.0,4,female,32.0,3,2,research_scientist,4,single,,7744,1,,25,4.0,2,0,,3,3.0,20,13,17,1979,yes
no,,1202.0,,25,1,,13750.0,25,male,89.0,4,2,healthcare_representative,3,,,13888,5,no,20,4.0,2,3,15.0,0,3.0,12,11,8,1983,yes
no,,465.0,,6,1,life_sciences,16610.0,3,male,41.0,2,4,healthcare_representative,3,,,11652,2,,19,3.0,2,1,,3,3.0,15,2,12,1974,yes
no,travel_frequently,1189.0,,1,3,life_sciences,16680.0,4,female,90.0,3,2,research_scientist,4,,4735.0,9867,7,no,15,3.0,4,2,19.0,4,,13,2,9,1985,yes
no,,,,21,3,,16980.0,2,female,79.0,4,1,laboratory_technician,2,,,13637,1,no,18,3.0,4,3,14.0,6,,14,2,13,1990,yes
no,,1394.0,research_and_development,8,3,,19370.0,4,male,58.0,2,2,research_scientist,2,divorced,,18115,1,,16,3.0,3,1,20.0,3,3.0,20,0,7,1985,no
no,travel_rarely,161.0,,10,3,life_sciences,20170.0,3,male,42.0,4,3,research_director,4,,,15471,1,yes,25,4.0,1,1,16.0,2,3.0,16,6,8,1986,yes
no,,288.0,,2,3,,1170.0,3,female,99.0,2,2,healthcare_representative,4,married,,15830,1,no,19,,1,3,11.0,3,3.0,11,10,8,1993,yes
no,travel_rarely,682.0,,18,4,,1310.0,4,female,37.0,3,4,sales_executive,3,single,13872.0,24409,0,,13,3.0,3,0,38.0,1,2.0,37,1,8,1965,yes
no,travel_rarely,1354.0,,5,3,,1530.0,3,male,45.0,2,3,manager,1,single,,5615,2,,12,3.0,4,0,14.0,6,3.0,11,5,8,1989,no
no,,119.0,,3,3,life_sciences,3070.0,1,female,76.0,3,3,sales_executive,3,divorced,,9647,0,,12,3.0,3,2,,6,2.0,16,5,13,1985,yes
no,travel_rarely,452.0,,1,3,medical,3740.0,4,female,81.0,3,5,manager,1,single,19045.0,18938,0,,14,3.0,3,0,37.0,2,3.0,36,4,13,1968,yes
no,,480.0,,30,2,,5240.0,2,male,31.0,3,2,manufacturing_director,1,married,4306.0,4156,1,no,12,3.0,2,1,13.0,5,1.0,13,3,12,1992,yes
no,travel_rarely,1099.0,research_and_development,27,4,life_sciences,5690.0,27,female,88.0,2,4,manager,3,married,17046.0,9314,0,no,15,3.0,2,1,28.0,2,3.0,27,15,7,1973,yes
no,,672.0,,25,3,technical_degree,8990.0,4,female,78.0,2,3,manufacturing_director,2,married,,9129,3,no,16,,1,0,,2,3.0,13,4,8,1988,no
no,,583.0,research_and_development,25,4,,10140.0,3,male,57.0,3,3,healthcare_representative,3,divorced,,6975,1,yes,11,,3,1,,3,2.0,16,10,1,1988,yes
no,,1050.0,sales,9,4,life_sciences,11170.0,2,male,65.0,2,2,sales_executive,3,married,,17970,1,,13,3.0,4,1,15.0,2,3.0,15,4,12,1978,no
no,,117.0,research_and_development,9,3,medical,12380.0,1,female,60.0,3,1,research_scientist,4,married,,6311,0,,13,3.0,2,1,15.0,5,3.0,14,4,10,1990,no
yes,,,,13,3,marketing,12770.0,1,male,94.0,1,5,manager,2,,,2493,2,yes,16,3.0,1,0,26.0,2,3.0,24,1,11,1978,yes
no,travel_rarely,1440.0,,7,2,technical_degree,15410.0,2,female,55.0,3,1,sales_representative,3,,2308.0,4944,0,yes,25,4.0,2,1,12.0,4,3.0,11,5,7,1989,no
no,travel_rarely,1291.0,research_and_development,15,2,,16660.0,3,female,65.0,2,4,research_director,3,,,3525,1,no,24,4.0,1,1,,3,3.0,14,6,11,1980,yes
no,,1157.0,,5,2,medical,16960.0,2,female,57.0,2,2,laboratory_technician,4,,,11912,1,no,14,3.0,3,1,,3,,15,4,13,1989,no
no,,1336.0,,2,3,,18050.0,1,female,100.0,3,1,human_resources,2,divorced,,7129,5,no,13,3.0,4,3,13.0,3,3.0,11,3,8,1985,yes
no,,735.0,research_and_development,22,4,other,19320.0,3,female,86.0,2,2,research_scientist,4,married,5747.0,26496,1,yes,15,3.0,2,0,16.0,3,3.0,15,6,11,1989,no
no,travel_rarely,,,31,4,,20160.0,31,male,48.0,3,3,sales_executive,4,,10422.0,24032,1,no,19,3.0,3,2,14.0,3,3.0,14,5,7,1991,yes
no,travel_rarely,1389.0,,21,4,life_sciences,200.0,2,male,51.0,4,3,manufacturing_director,1,divorced,,10195,1,no,11,3.0,3,1,10.0,1,3.0,10,8,8,1994,no
no,,1240.0,human_resources,9,3,,1840.0,3,female,48.0,3,2,human_resources,4,married,6347.0,13982,0,yes,19,3.0,4,0,,2,1.0,11,4,7,1993,no
no,,194.0,,9,3,life_sciences,2060.0,2,female,60.0,3,2,laboratory_technician,2,,2348.0,10901,8,no,18,3.0,3,1,20.0,2,,17,0,15,1978,yes
no,travel_rarely,1339.0,,5,3,,2280.0,2,male,41.0,3,3,sales_executive,4,,,8053,2,no,12,3.0,3,1,,2,3.0,10,7,4,1993,yes
no,,111.0,,9,3,,2390.0,3,female,66.0,3,2,laboratory_technician,1,,3072.0,11012,1,no,11,,3,2,12.0,4,3.0,12,6,10,1993,yes
no,travel_frequently,,,29,1,,2560.0,4,female,45.0,2,2,manufacturing_director,3,married,,14074,1,,17,3.0,3,0,10.0,2,2.0,10,1,9,1989,no
no,,470.0,,39,4,life_sciences,3390.0,39,female,84.0,2,2,manufacturing_director,1,,,23687,6,,13,3.0,2,1,13.0,3,3.0,11,5,9,1989,yes
no,travel_rarely,1232.0,,16,3,,4060.0,3,female,96.0,3,3,sales_executive,2,married,8020.0,5100,0,,15,3.0,3,2,12.0,3,2.0,11,6,9,1988,yes
no,,117.0,,10,1,,4290.0,3,female,99.0,3,4,manager,1,married,17068.0,5355,1,,14,,4,0,21.0,3,3.0,21,11,10,1984,yes
no,,672.0,research_and_development,7,2,,4440.0,3,female,54.0,2,5,manager,4,married,19272.0,21141,1,,15,3.0,1,1,,2,3.0,21,13,3,1984,yes
no,travel_rarely,549.0,,8,4,,4520.0,4,female,75.0,3,2,research_scientist,4,,,9278,9,no,14,3.0,1,2,12.0,3,3.0,10,9,8,1978,yes
no,travel_rarely,570.0,sales,5,3,marketing,4560.0,4,male,30.0,2,2,sales_executive,3,,,5431,1,,13,3.0,3,3,10.0,2,3.0,10,1,2,1993,yes
no,,541.0,,3,4,medical,4810.0,1,female,48.0,2,3,sales_executive,4,married,,7246,4,no,11,3.0,1,1,16.0,2,3.0,13,1,12,1987,yes
no,travel_rarely,164.0,,2,2,,5130.0,2,female,61.0,2,3,sales_executive,3,married,,3809,1,,13,3.0,2,2,10.0,2,3.0,10,9,0,1987,yes
no,travel_rarely,1117.0,,18,5,,5970.0,1,male,83.0,3,4,manager,2,single,,9873,3,no,23,4.0,4,0,37.0,2,3.0,10,7,7,1968,yes
no,,619.0,,1,3,,6000.0,2,female,85.0,3,2,sales_executive,3,,,18659,9,,11,3.0,3,0,15.0,2,3.0,11,6,9,1988,yes
no,travel_rarely,956.0,,6,2,,6300.0,4,female,78.0,3,2,research_scientist,1,divorced,5577.0,22087,3,yes,12,,2,2,18.0,3,3.0,10,6,9,1971,yes
no,,1245.0,,18,4,life_sciences,6380.0,4,female,58.0,2,5,research_director,3,,,2125,1,yes,17,3.0,3,1,,5,3.0,31,0,9,1974,yes
no,travel_rarely,1397.0,research_and_development,1,5,,6830.0,2,female,42.0,3,1,research_scientist,4,married,2691.0,7660,1,no,12,3.0,4,1,,4,2.0,10,8,8,1989,yes
yes,travel_rarely,527.0,,1,4,other,7800.0,4,female,63.0,3,1,research_scientist,4,single,,5207,1,,13,3.0,3,0,10.0,2,2.0,10,7,8,1990,no
no,,213.0,research_and_development,7,3,medical,8170.0,3,female,49.0,3,3,research_director,3,married,,25995,0,no,11,3.0,4,0,,3,4.0,13,3,7,1990,yes
no,travel_rarely,,,23,4,,9010.0,4,male,72.0,3,4,research_director,4,,,20206,6,no,18,3.0,3,0,33.0,0,3.0,12,3,8,1970,yes
no,travel_rarely,527.0,,8,2,other,9440.0,1,male,51.0,3,3,laboratory_technician,2,married,7403.0,22477,4,,11,3.0,3,1,29.0,3,2.0,26,1,7,1974,no
no,,882.0,,21,4,,9840.0,21,female,,3,3,sales_executive,4,,,6812,6,,13,3.0,2,1,,2,3.0,10,0,8,1988,no
no,travel_rarely,330.0,,17,1,life_sciences,10880.0,3,male,65.0,2,3,healthcare_representative,3,married,8823.0,24608,0,,18,3.0,1,1,20.0,4,2.0,19,1,9,1985,no
no,,406.0,sales,3,1,marketing,11240.0,1,female,,3,4,manager,3,married,,15596,3,no,12,3.0,4,1,,3,3.0,12,4,9,1977,no
yes,travel_frequently,481.0,,15,3,life_sciences,11670.0,15,female,44.0,3,4,sales_executive,1,single,,2447,0,,12,,2,0,,2,2.0,21,13,14,1981,yes
no,travel_frequently,669.0,,1,3,,11840.0,4,female,97.0,2,2,healthcare_representative,1,single,,25755,0,no,20,4.0,3,0,14.0,3,3.0,13,4,9,1989,yes
no,travel_rarely,1062.0,,24,3,medical,12520.0,3,male,96.0,2,2,healthcare_representative,1,single,,17198,1,no,19,,2,0,10.0,2,3.0,10,1,8,1992,no
no,,1099.0,,5,3,,12670.0,2,female,88.0,3,5,manager,2,married,18213.0,8751,7,no,11,3.0,3,1,26.0,5,3.0,22,3,10,1979,yes
no,non_travel,177.0,,8,1,,12780.0,4,female,37.0,2,4,healthcare_representative,2,divorced,13577.0,25592,1,yes,15,3.0,4,1,,3,3.0,33,15,0,1968,no
no,travel_rarely,1199.0,,4,2,life_sciences,12880.0,3,female,92.0,4,5,manager,1,divorced,19190.0,17477,1,no,14,3.0,4,2,,4,2.0,25,14,13,1979,no
no,,412.0,,13,4,,13070.0,3,male,94.0,2,4,manager,2,divorced,17123.0,17334,6,yes,13,3.0,4,2,,4,3.0,19,15,2,1984,no
no,travel_rarely,282.0,,2,2,medical,13360.0,4,male,58.0,1,5,manager,3,,19187.0,6992,4,,14,,4,1,23.0,5,3.0,19,9,11,1968,yes
no,,770.0,,5,3,life_sciences,13520.0,3,female,84.0,3,4,manager,2,,,17588,1,,11,3.0,2,1,,2,3.0,33,0,10,1972,yes
yes,,601.0,,14,4,medical,13600.0,14,male,53.0,2,3,manufacturing_director,1,married,10008.0,12023,7,,14,3.0,4,0,,0,2.0,10,5,9,1965,yes
no,travel_rarely,332.0,human_resources,17,3,,14190.0,2,female,51.0,2,3,human_resources,1,single,7988.0,9769,1,,13,3.0,1,0,,3,2.0,10,0,9,1994,no
no,,1326.0,,3,3,other,14780.0,4,female,81.0,1,2,sales_executive,1,single,,15891,3,no,18,,4,0,15.0,2,3.0,13,3,12,1989,yes
no,travel_frequently,748.0,,9,2,,14800.0,1,male,74.0,3,1,laboratory_technician,4,,,16458,1,,13,3.0,3,0,12.0,3,3.0,12,5,8,1981,yes
yes,travel_rarely,790.0,,24,4,,14890.0,1,male,40.0,2,2,sales_executive,2,single,,7815,0,yes,23,4.0,3,0,16.0,2,4.0,15,10,10,1989,no
no,travel_frequently,1050.0,,11,4,medical,15200.0,2,male,87.0,3,4,manager,4,,,24456,3,no,20,,1,1,26.0,2,3.0,14,1,12,1969,yes
no,travel_rarely,971.0,,1,3,,15350.0,4,female,64.0,2,3,sales_executive,3,,7083.0,12288,1,,14,3.0,4,0,,3,3.0,10,8,6,1989,no
no,,1370.0,,3,1,medical,15860.0,2,female,87.0,3,1,laboratory_technician,1,single,4723.0,16213,1,,18,3.0,4,0,,3,,10,1,5,1994,yes
no,travel_rarely,750.0,,28,3,life_sciences,15960.0,2,female,46.0,4,2,laboratory_technician,3,,3407.0,25348,1,,17,,4,2,,3,2.0,10,6,8,1988,yes
yes,,880.0,,12,4,other,16670.0,4,female,36.0,3,2,sales_executive,4,,,10414,3,,24,4.0,1,0,13.0,2,4.0,11,6,7,1988,yes
no,travel_rarely,678.0,,19,3,life_sciences,17010.0,2,male,35.0,2,1,research_scientist,4,married,2929.0,20338,1,no,12,3.0,2,0,10.0,3,3.0,10,8,7,1989,yes
no,,1179.0,,2,3,,17060.0,4,female,73.0,3,2,sales_executive,4,,,6069,1,yes,17,3.0,1,1,10.0,3,3.0,10,8,8,1980,no
no,travel_rarely,574.0,,11,3,life_sciences,19710.0,1,female,30.0,3,3,healthcare_representative,3,married,,16873,1,,17,3.0,2,1,10.0,1,3.0,10,0,9,1980,yes
no,,,research_and_development,23,2,,19760.0,4,female,37.0,2,2,research_scientist,3,single,,14811,1,,12,3.0,4,0,20.0,2,3.0,20,3,7,1981,yes
no,,692.0,,11,3,technical_degree,19850.0,4,male,73.0,3,2,laboratory_technician,3,married,,26849,1,,11,,1,1,10.0,2,4.0,10,9,4,1983,yes
yes,,310.0,research_and_development,7,2,technical_degree,20320.0,4,female,72.0,3,1,laboratory_technician,3,married,,3666,8,no,11,3.0,4,1,14.0,4,1.0,10,9,8,1967,yes
no,travel_rarely,722.0,,33,1,marketing,20560.0,33,male,60.0,2,4,sales_executive,4,,12031.0,8828,0,,11,3.0,1,1,,2,2.0,20,9,6,1984,yes
no,travel_frequently,721.0,,1,2,,570.0,3,male,58.0,3,2,laboratory_technician,4,,,10781,1,,23,4.0,4,0,12.0,2,,12,3,7,1993,yes
no,travel_rarely,427.0,research_and_development,1,3,medical,780.0,1,female,,3,2,manufacturing_director,4,married,6162.0,10877,1,yes,22,4.0,2,1,9.0,3,3.0,9,7,8,1991,yes
no,travel_rarely,852.0,,1,1,life_sciences,1040.0,4,female,55.0,2,2,laboratory_technician,4,married,5126.0,15998,1,,12,3.0,3,2,,1,,10,3,0,1993,no
yes,,669.0,sales,9,2,medical,1180.0,3,female,64.0,2,3,sales_executive,4,,9619.0,13596,1,no,16,3.0,4,0,9.0,3,3.0,9,4,7,1977,no
no,travel_rarely,1334.0,,4,2,,1210.0,3,male,63.0,2,2,sales_executive,2,,,19760,1,yes,12,3.0,2,3,11.0,4,2.0,11,2,7,1993,no
no,,1093.0,,6,4,,1250.0,2,female,87.0,3,2,sales_executive,3,single,5010.0,24301,1,no,16,3.0,1,0,12.0,0,3.0,11,5,7,1991,yes
no,,967.0,,8,3,marketing,2070.0,2,male,43.0,3,3,sales_executive,4,single,,15589,1,,14,3.0,4,0,9.0,2,3.0,9,3,7,1991,yes
no,travel_rarely,465.0,research_and_development,34,3,life_sciences,2270.0,1,female,56.0,3,1,research_scientist,3,divorced,,4609,4,no,12,3.0,1,1,,2,3.0,9,1,8,1982,yes
no,travel_rarely,989.0,,4,1,medical,2530.0,4,male,46.0,3,5,manager,3,,19033.0,6499,1,no,14,3.0,2,1,21.0,2,3.0,20,9,9,1983,no
no,,1195.0,,2,2,,2640.0,1,female,65.0,2,4,manager,4,married,,20462,9,no,23,4.0,4,1,22.0,1,3.0,20,11,8,1978,yes
yes,travel_rarely,1045.0,,4,4,,2910.0,4,female,32.0,1,3,sales_executive,4,married,10400.0,25812,1,no,11,3.0,3,0,14.0,2,2.0,14,9,8,1991,no
no,non_travel,829.0,research_and_development,1,1,life_sciences,2920.0,3,female,88.0,2,3,manufacturing_director,3,,,20925,1,no,22,4.0,3,0,,2,3.0,11,5,8,1993,yes
no,,663.0,,11,3,,3060.0,2,female,47.0,3,3,research_director,4,,,10056,1,,14,3.0,3,3,,1,3.0,10,0,7,1986,yes
no,,1300.0,,24,2,technical_degree,3350.0,1,female,62.0,3,2,research_scientist,4,,,24447,1,no,17,3.0,1,2,,3,3.0,9,4,7,1983,no
no,travel_rarely,906.0,,7,3,life_sciences,4200.0,4,female,91.0,2,2,sales_executive,3,married,,16985,1,,14,3.0,3,1,13.0,3,2.0,13,4,8,1991,yes
no,,849.0,,25,2,life_sciences,4210.0,1,male,81.0,2,3,research_director,2,,,26707,3,,17,3.0,3,1,,2,3.0,10,0,1,1985,yes
no,travel_rarely,1275.0,,28,2,,4410.0,4,male,64.0,3,2,research_scientist,4,married,,11934,1,no,13,3.0,4,2,11.0,2,3.0,10,1,9,1993,yes
no,,1218.0,,1,1,,5310.0,2,female,52.0,3,5,manager,3,,19197.0,8213,1,,14,3.0,3,1,21.0,3,3.0,21,1,6,1984,yes
no,,422.0,,7,3,life_sciences,5490.0,1,male,41.0,3,5,manager,1,,,3854,5,no,11,3.0,4,0,33.0,5,1.0,29,11,10,1963,yes
no,,1398.0,,22,4,other,5670.0,3,male,69.0,3,3,sales_executive,1,,8412.0,2890,0,,11,3.0,3,0,10.0,3,3.0,9,7,8,1993,yes
no,travel_rarely,1274.0,research_and_development,9,1,,5810.0,3,female,,3,3,manufacturing_director,2,divorced,,14394,1,no,25,4.0,4,1,,6,4.0,13,0,8,1992,yes
yes,,1076.0,,3,3,life_sciences,7020.0,1,female,70.0,3,1,research_scientist,1,single,3348.0,3164,1,yes,11,3.0,1,0,,3,3.0,10,9,7,1990,no
no,,1207.0,,28,1,medical,7160.0,4,female,74.0,4,1,laboratory_technician,3,married,,3297,1,yes,11,,3,3,20.0,3,3.0,20,3,8,1973,yes
no,,430.0,research_and_development,24,4,life_sciences,7720.0,1,female,80.0,3,2,laboratory_technician,4,,5309.0,21146,1,no,15,,4,2,10.0,2,3.0,10,4,7,1991,yes
no,,933.0,,29,3,,8360.0,2,female,98.0,3,2,manufacturing_director,2,,,11806,1,,13,3.0,4,1,10.0,3,2.0,9,7,8,1981,yes
yes,,1184.0,sales,11,3,marketing,8400.0,3,male,43.0,3,3,sales_executive,4,married,7654.0,5860,1,no,18,3.0,1,2,,3,4.0,9,7,7,1974,no
no,,,,5,1,,8440.0,3,female,42.0,2,3,research_director,4,divorced,12808.0,8842,1,,16,3.0,2,1,,3,3.0,9,0,8,1996,yes
no,,890.0,research_and_development,26,4,,8670.0,3,male,81.0,2,4,manufacturing_director,4,married,,19028,3,no,22,4.0,3,0,31.0,3,3.0,9,0,0,1971,no
no,,379.0,,5,2,life_sciences,8890.0,2,female,48.0,3,2,sales_executive,2,,,8891,1,no,14,3.0,4,1,10.0,3,3.0,10,5,3,1991,yes
no,,1425.0,,14,1,life_sciences,9240.0,3,female,68.0,3,2,healthcare_representative,4,,6586.0,4821,0,,17,3.0,1,1,,2,2.0,16,4,11,1987,no
no,,1053.0,,1,2,life_sciences,9760.0,4,female,70.0,3,4,manager,4,married,17099.0,13829,2,,15,3.0,2,1,26.0,2,,9,7,8,1971,yes
no,non_travel,722.0,,17,3,,9920.0,4,female,38.0,3,4,manager,3,single,,20489,1,,11,3.0,4,0,10.0,2,3.0,10,6,0,1990,no
no,non_travel,248.0,,23,2,life_sciences,10020.0,4,female,42.0,3,2,laboratory_technician,1,,,14039,1,yes,15,3.0,3,1,9.0,2,3.0,9,0,8,1978,yes
no,travel_rarely,796.0,research_and_development,12,5,,10730.0,4,male,51.0,2,3,manufacturing_director,4,,,15669,0,,11,3.0,2,0,15.0,2,2.0,14,7,8,1987,yes
no,,174.0,,8,4,,11380.0,4,female,56.0,2,4,sales_executive,2,,13120.0,11879,6,,17,3.0,2,1,22.0,3,3.0,9,2,3,1974,no
